sample_id,reason,word,start_s,end_s,score,face_frame_fraction
-571d8cVauQ$_$0,crop_face_identity_review,,,,,0.962
-571d8cVauQ$_$5,crop_face_identity_review,,,,,1.0
-9y-fZ3swSY$_$0,low_ctc_confidence,you,0.1805,0.2406,0.0249,1.0
-9y-fZ3swSY$_$0,low_ctc_confidence,I,1.5038,1.5238,0.0061,1.0
-9y-fZ3swSY$_$0,low_ctc_confidence,are,3.8096,3.8697,0.0049,1.0
-9y-fZ3swSY$_$4,low_ctc_confidence,in,1.0498,1.0902,0.0897,0.964
-9y-fZ3swSY$_$8,possible_face_switch,,4.1,,,0.76
-a55Q6RWvTA$_$3,low_ctc_confidence,of,17.9189,17.959,0.0115,1.0
-aqamKhZ1Ec$_$0,low_ctc_confidence,In,0.1201,0.3804,0.0402,1.0
-aqamKhZ1Ec$_$0,unsupported_ctc_text,"2008,",,,,1.0
-AUZQgSxyPQ$_$2,low_ctc_confidence,and,12.4737,12.5738,0.0038,1.0
-dxfTGcXJoc$_$0,unsupported_ctc_text,...,,,,0.777
-dxfTGcXJoc$_$0,unsupported_ctc_text,"1,500",,,,0.777
-dxfTGcXJoc$_$0,unsupported_ctc_text,"100,000",,,,0.777
-dxfTGcXJoc$_$2,unsupported_ctc_text,"20,000",,,,1.0
-dxfTGcXJoc$_$2,unsupported_ctc_text,50,,,,1.0
-dxfTGcXJoc$_$6,possible_face_switch,,12.6,,,0.984
-egA8-b7-3M$_$1,unsupported_ctc_text,1989.,,,,1.0
-HeZS2-Prhc$_$2,crop_face_identity_review,,,,,1.0
-hnBHBN8p5A$_$6,low_ctc_confidence,"Discussion,",0.3006,0.6213,0.0996,0.451
-hnBHBN8p5A$_$6,low_ctc_confidence,and,1.7636,1.8437,0.0141,0.451
-hnBHBN8p5A$_$6,low_face_coverage,,,,,0.451
-hnBHBN8p5A$_$6,crop_face_identity_review,,,,,0.451
-hnBHBN8p5A$_$6,possible_face_switch,,0.8759,,,0.451
-hnBHBN8p5A$_$6,possible_face_switch,,1.1261,,,0.451
-hnBHBN8p5A$_$6,possible_face_switch,,1.3764,,,0.451
-hnBHBN8p5A$_$7,low_ctc_confidence,"this,",0.881,1.0212,0.0,0.492
-hnBHBN8p5A$_$7,low_ctc_confidence,we,1.9823,2.0624,0.0,0.492
-hnBHBN8p5A$_$7,low_ctc_confidence,a,5.1861,5.2061,0.0035,0.492
-hnBHBN8p5A$_$7,low_ctc_confidence,room,5.3463,5.4664,0.0001,0.492
-hnBHBN8p5A$_$7,low_face_coverage,,,,,0.492
-hnBHBN8p5A$_$7,crop_face_identity_review,,,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,1.7518,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,1.8769,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,2.002,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,2.3774,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,3.2533,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,3.3784,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,3.5035,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,5.005,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,5.2553,,,0.492
-hnBHBN8p5A$_$7,possible_face_switch,,5.5055,,,0.492
-HwX2H8Z4hY$_$2,unsupported_ctc_text,”,,,,0.2
-HwX2H8Z4hY$_$2,low_ctc_confidence,[President,0.0,0.241,0.0902,0.2
-HwX2H8Z4hY$_$2,low_ctc_confidence,Ronald,0.3012,0.5221,0.0001,0.2
-HwX2H8Z4hY$_$2,low_face_coverage,,,,,0.2
-HwX2H8Z4hY$_$2,crop_face_identity_review,,,,,0.2
-HwX2H8Z4hY$_$5,unsupported_ctc_text,"""",,,,0.316
-HwX2H8Z4hY$_$5,low_face_coverage,,,,,0.316
-HwX2H8Z4hY$_$5,crop_face_identity_review,,,,,0.316
-HwX2H8Z4hY$_$6,crop_face_identity_review,,,,,0.5
-HwX2H8Z4hY$_$6,possible_face_switch,,3.2,,,0.5
-HwX2H8Z4hY$_$9,low_ctc_confidence,the,6.3937,6.4538,0.043,0.192
-HwX2H8Z4hY$_$9,low_face_coverage,,,,,0.192
-HwX2H8Z4hY$_$9,crop_face_identity_review,,,,,0.192
-iRBcNs9oI8$_$3,low_ctc_confidence,it,1.224,1.2642,0.0,1.0
-iRBcNs9oI8$_$3,low_ctc_confidence,is,1.9865,2.0267,0.001,1.0
-iRBcNs9oI8$_$3,crop_face_identity_review,,,,,1.0
-iRBcNs9oI8$_$6,low_ctc_confidence,a,1.6318,1.652,0.0,1.0
-iRBcNs9oI8$_$6,low_ctc_confidence,pose,2.5585,2.6391,0.0004,1.0
-iRBcNs9oI8$_$6,crop_face_identity_review,,,,,1.0
-iRBcNs9oI8$_$7,low_ctc_confidence,for,0.2804,0.3605,0.0,1.0
-iRBcNs9oI8$_$7,low_ctc_confidence,look,2.4034,2.5637,0.0,1.0
-iRBcNs9oI8$_$7,crop_face_identity_review,,,,,1.0
-iRBcNs9oI8$_$8,low_ctc_confidence,and,2.5619,2.642,0.0001,1.0
-iRBcNs9oI8$_$8,low_ctc_confidence,if,2.7421,2.8021,0.0001,1.0
-iRBcNs9oI8$_$8,low_ctc_confidence,"tell,",4.2232,4.3433,0.0,1.0
-iRBcNs9oI8$_$8,low_ctc_confidence,has,4.5234,4.8036,0.0,1.0
-iRBcNs9oI8$_$8,low_ctc_confidence,he,7.2054,7.2455,0.0,1.0
-iRBcNs9oI8$_$8,crop_face_identity_review,,,,,1.0
-iRBcNs9oI8$_$9,low_ctc_confidence,is,0.3013,0.3414,0.0001,0.676
-iRBcNs9oI8$_$9,crop_face_identity_review,,,,,0.676
-iRBcNs9oI8$_$9,possible_face_switch,,1.6016,,,0.676
-lzEya4AM_4$_$5,low_ctc_confidence,oh,1.3617,1.4418,0.0933,1.0
-lzEya4AM_4$_$5,crop_face_identity_review,,,,,1.0
-lzEya4AM_4$_$6,low_ctc_confidence,as,9.7735,9.8136,0.0051,1.0
-lzEya4AM_4$_$6,crop_face_identity_review,,,,,1.0
-MeTTeMJBNc$_$0,crop_face_identity_review,,,,,0.989
-MeTTeMJBNc$_$13,crop_face_identity_review,,,,,1.0
-MeTTeMJBNc$_$7,crop_face_identity_review,,,,,1.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,There,0.0,0.2807,0.0224,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,are,0.3007,0.3609,0.0259,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,a,0.3809,0.401,0.037,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,dozen,0.421,0.6215,0.011,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,or,0.6415,0.6816,0.014,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,more,0.7017,0.7819,0.0151,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,hands,0.8019,5.413,0.0163,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,on,5.433,5.4731,0.0098,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,techniques,5.4932,5.6936,0.0178,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,that,5.7137,5.7939,0.0261,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,we,5.8139,5.8741,0.016,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,can,5.9342,5.9944,0.0135,0.0
-mJ2ud6oKI8$_$1,low_ctc_confidence,do,6.0144,6.0545,0.0108,0.0
-mJ2ud6oKI8$_$1,low_face_coverage,,,,,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,So,0.0,0.0602,0.0268,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,physical,0.0803,0.4015,0.0169,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,therapists,0.4417,2.2084,0.0248,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,and,2.3289,2.4895,0.0143,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,chiropractors,2.8508,4.6979,0.0167,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,will,4.738,4.8384,0.0093,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,do,4.8585,4.8986,0.0113,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,joint,4.9187,5.0191,0.0167,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,manipulations,5.0392,5.3002,0.0185,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,and,5.3202,5.3805,0.0142,0.0
-mJ2ud6oKI8$_$2,low_ctc_confidence,mobilizations,5.4005,5.6816,0.0188,0.0
-mJ2ud6oKI8$_$2,low_face_coverage,,,,,0.0
-mJ2ud6oKI8$_$8,low_ctc_confidence,we,1.2233,1.3637,0.0001,1.0
-mJ2ud6oKI8$_$8,low_ctc_confidence,stretch,2.0255,2.3464,0.0177,1.0
-mJ2ud6oKI8$_$8,low_ctc_confidence,joint,2.5469,2.7876,0.0,1.0
-mJ2ud6oKI8$_$8,low_ctc_confidence,is,3.2288,3.2689,0.0131,1.0
-mJ2ud6oKI8$_$9,low_ctc_confidence,the,0.8411,0.9212,0.0,0.971
-mJ2ud6oKI8$_$9,low_ctc_confidence,"on,",2.6834,2.7435,0.0037,0.971
-mJ2ud6oKI8$_$9,low_ctc_confidence,of,3.4444,3.5645,0.0,0.971
-mJ2ud6oKI8$_$9,low_ctc_confidence,teeth,6.0877,6.2479,0.003,0.971
-mJ2ud6oKI8$_$9,low_ctc_confidence,time,6.8086,6.8887,0.0003,0.971
-mJ2ud6oKI8$_$9,possible_face_switch,,4.7047,,,0.971
-NFrJFQijFE$_$1,low_ctc_confidence,Structural,0.0803,0.4816,0.0092,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,mounts,0.6823,0.8829,0.0049,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,inside,0.9431,1.1839,0.0056,0.0
