sample_id,visual_mode,old_face_frames,new_face_frames,sampled_frames,gained_frames,lost_frames,old_vision_valid_tokens,new_vision_valid_tokens,unresolved_words,manual_face_review,video_path
-3g5yACwYnA$_$13,original,55,55,55,0,0,18,18,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4
-3g5yACwYnA$_$2,original,94,94,94,0,0,17,17,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4
-3g5yACwYnA$_$3,original,144,144,144,0,0,40,40,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4
-3g5yACwYnA$_$9,original,88,88,88,0,0,28,28,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4
-3nNcZdcdvU$_$5,original,79,79,79,0,0,22,22,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4
-571d8cVauQ$_$0,center_crop_0.7,0,50,52,50,0,0,16,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\0.mp4
-571d8cVauQ$_$5,center_crop_0.7,0,153,153,153,0,0,52,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\5.mp4
-6rXp3zJ3kc$_$8,original,128,128,128,0,0,38,38,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-6rXp3zJ3kc\8.mp4
-9y-fZ3swSY$_$0,original,69,69,69,0,0,25,25,3,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\0.mp4
-9y-fZ3swSY$_$4,original,27,27,28,0,0,10,10,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\4.mp4
-9y-fZ3swSY$_$8,original,38,38,50,0,0,11,11,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\8.mp4
-a55Q6RWvTA$_$3,original,222,222,222,0,0,81,81,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4
-aNfi7CP8vM$_$7,original,87,87,87,0,0,23,23,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4
-aqamKhZ1Ec$_$0,original,110,110,110,0,0,13,13,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4
-AUZQgSxyPQ$_$2,original,225,225,225,0,0,55,55,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-AUZQgSxyPQ\2.mp4
-dxfTGcXJoc$_$0,original,160,160,206,0,0,41,41,3,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4
-dxfTGcXJoc$_$1,original,161,161,161,0,0,42,42,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4
-dxfTGcXJoc$_$2,original,167,167,167,0,0,36,36,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4
-dxfTGcXJoc$_$6,original,126,126,128,0,0,32,32,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\6.mp4
-egA8-b7-3M$_$1,original,103,103,103,0,0,20,20,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\1.mp4
-egA8-b7-3M$_$13,original,42,42,42,0,0,16,16,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\13.mp4
-egA8-b7-3M$_$16,original,56,56,56,0,0,13,13,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\16.mp4
-egA8-b7-3M$_$17,original,73,73,73,0,0,19,19,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\17.mp4
-egA8-b7-3M$_$18,original,84,84,84,0,0,27,27,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\18.mp4
-egA8-b7-3M$_$20,original,66,66,66,0,0,24,24,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\20.mp4
-egA8-b7-3M$_$26,original,60,60,60,0,0,19,19,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\26.mp4
-egA8-b7-3M$_$6,original,63,63,63,0,0,13,13,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\6.mp4
-egA8-b7-3M$_$9,original,51,51,51,0,0,12,12,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\9.mp4
-HeZS2-Prhc$_$2,center_crop_0.7,0,83,83,83,0,0,17,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HeZS2-Prhc\2.mp4
-hnBHBN8p5A$_$6,center_crop_0.7,3,23,51,20,0,1,3,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4
-hnBHBN8p5A$_$7,center_crop_0.5,0,29,59,29,0,0,10,4,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4
-HwX2H8Z4hY$_$2,center_crop_0.7,7,8,40,2,1,1,1,3,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4
-HwX2H8Z4hY$_$5,center_crop_0.7,14,18,57,4,0,2,2,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4
-HwX2H8Z4hY$_$6,center_crop_0.7,14,17,34,5,2,7,7,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4
-HwX2H8Z4hY$_$9,center_crop_0.5,0,15,78,15,0,0,6,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4
-I_e4mIh0yE$_$1,original,76,76,76,0,0,21,21,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\1.mp4
