priority,sample_id,visual_mode,old_face_frames,new_face_frames,sampled_frames,gained_frames,lost_frames,old_vision_valid_tokens,new_vision_valid_tokens,unresolved_words,manual_face_review,video_path
1,-HwX2H8Z4hY$_$9,center_crop_0.5,0,15,78,15,0,0,6,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4
2,-hnBHBN8p5A$_$7,center_crop_0.5,0,29,59,29,0,0,10,4,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4
3,-iRBcNs9oI8$_$9,center_crop_0.7,0,23,34,23,0,0,4,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4
4,-571d8cVauQ$_$0,center_crop_0.7,0,50,52,50,0,0,16,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\0.mp4
5,-UUCSKoHeMA$_$0,center_crop_0.7,0,78,79,78,0,0,23,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UUCSKoHeMA\0.mp4
6,-MeTTeMJBNc$_$0,center_crop_0.7,0,93,94,93,0,0,26,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\0.mp4
7,-571d8cVauQ$_$5,center_crop_0.7,0,153,153,153,0,0,52,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\5.mp4
8,-HeZS2-Prhc$_$2,center_crop_0.7,0,83,83,83,0,0,17,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HeZS2-Prhc\2.mp4
9,-MeTTeMJBNc$_$13,center_crop_0.7,0,54,54,54,0,0,16,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\13.mp4
10,-MeTTeMJBNc$_$7,center_crop_0.7,0,105,105,105,0,0,33,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\7.mp4
11,-UacrmKiTn4$_$10,center_crop_0.7,0,73,73,73,0,0,22,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UacrmKiTn4\10.mp4
12,-UacrmKiTn4$_$4,center_crop_0.7,0,48,48,48,0,0,15,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UacrmKiTn4\4.mp4
13,-iRBcNs9oI8$_$3,center_crop_0.7,0,56,56,56,0,0,7,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4
14,-iRBcNs9oI8$_$6,center_crop_0.7,0,29,29,29,0,0,3,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4
15,-iRBcNs9oI8$_$7,center_crop_0.7,0,41,41,41,0,0,13,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4
16,-iRBcNs9oI8$_$8,center_crop_0.7,0,81,81,81,0,0,20,5,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4
17,-lzEya4AM_4$_$5,center_crop_0.7,0,77,77,77,0,0,20,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4
18,-lzEya4AM_4$_$6,center_crop_0.7,0,148,148,148,0,0,47,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4
19,-qDkUB0GgYY$_$6,center_crop_0.7,0,47,47,47,0,0,17,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-qDkUB0GgYY\6.mp4
20,-HwX2H8Z4hY$_$2,center_crop_0.7,7,8,40,2,1,1,1,3,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4
21,-HwX2H8Z4hY$_$5,center_crop_0.7,14,18,57,4,0,2,2,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4
22,-hnBHBN8p5A$_$6,center_crop_0.7,3,23,51,20,0,1,3,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4
23,-HwX2H8Z4hY$_$6,center_crop_0.7,14,17,34,5,2,7,7,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4
24,-UuX1xuaiiE$_$0,center_crop_0.5,18,35,37,17,0,5,8,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4
25,-UuX1xuaiiE$_$1,center_crop_0.5,5,99,104,97,3,1,32,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4
26,-wny0OAz3g8$_$1,center_crop_0.7,28,67,69,39,0,8,26,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\1.mp4
27,-wny0OAz3g8$_$5,center_crop_0.7,13,67,69,54,0,2,27,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\5.mp4
28,-NFrJFQijFE$_$1,original,0,0,48,0,0,0,0,16,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4
29,-NFrJFQijFE$_$2,original,0,0,57,0,0,0,0,12,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4
30,-mJ2ud6oKI8$_$1,original,0,0,61,0,0,0,0,13,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4
31,-mJ2ud6oKI8$_$2,original,0,0,57,0,0,0,0,11,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4
32,-ri04Z7vwnc$_$0,original,0,0,23,0,0,0,0,6,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-ri04Z7vwnc\0.mp4
