sample_id,feature_file,feature_sha256,video_file,video_sha256
01,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,5a08410ee779863238edcf349556a2f8e10490a70e02fc95001a64f6c8d17452,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf
02,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,88ed34a500bd7f11027ffc97205e23fdcde162b32bee9c447367b026b41608ac,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9
03,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,237a657ffb78b451b4e504ab8021e6072de404afd83d3b08be1560e98ca62860,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3
04,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,f7d7291b6ed0050ad3fd439bd3f85ce6fafb230a6399366a76e0b52f017bf4a7,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369
05,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,c6948e101e25656832290edf03daaf400b9a566e912775193d5f3ecdf9388eec,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420
06,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,8c432420054ac28bfcacbbee18d0e8397bc87fa0c7e8cbb11f525d6e366fdd57,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f
07,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,f16e44523bd82862435489552910ef3b801dd5b7501d67b84b83ee1496b0c5a0,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5
08,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,a1cccd885234d22478f30d0a3b253277e0567abaecc6ac683734b7e3dfc255c4,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79
09,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,f00ad50bdc14a4c9fe58fb4e421d6c8ee052d281d917766314f2846e48af8ff7,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749
10,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,693326817b8253fc907a3c1df1b05dd1f10c7bc756a86ce125bb903b01eaf571,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db
